"gbifID","license","species","basisOfRecord","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","year","month","day","countryCode","stateProvince","county","locality","verbatimLocality","institutionCode","recordedBy","references"
919447013,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-112.8807799,47.501702,1164,1945,6,29,"US","Montana","Lewis and Clark","Sec. 9, T20N, R10W","North and Central America | United States | Montana | Lewis and Clark County | Sec. 9, T20N, R10W","MSU","Lloyd C. Hulbert","http://portal.vertnet.org/o/msu/mr?id=mr-2438"
919446041,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-112.8807799,47.501702,1164,1945,6,28,"US","Montana","Lewis and Clark","Sec. 9, T20N, R10W","North and Central America | United States | Montana | Lewis and Clark County | Sec. 9, T20N, R10W","MSU","Lloyd C. Hulbert","http://portal.vertnet.org/o/msu/mr?id=mr-2434"
919445037,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.3342358,52.2019961,6086,1956,7,29,"CA","Alberta","","Columbia Ice Field, Jasper National Park","North and Central America | Canada | Alberta Province | Columbia Ice Field, Jasper National Park","MSU","Ken Sandy","http://portal.vertnet.org/o/msu/mr?id=mr-2378"
919444769,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-112.8807799,47.501702,1164,1945,6,29,"US","Montana","Lewis and Clark","Sec. 9, T20N, R10W","North and Central America | United States | Montana | Lewis and Clark County | Sec. 9, T20N, R10W","MSU","Lloyd C. Hulbert","http://portal.vertnet.org/o/msu/mr?id=mr-2437"
919442886,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.3342358,52.2019961,6086,1956,7,29,"CA","Alberta","","Columbia Ice Field, Jasper National Park","North and Central America | Canada | Alberta Province | Columbia Ice Field, Jasper National Park","MSU","James Meehan","http://portal.vertnet.org/o/msu/mr?id=mr-2379"
919436011,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-112.9935852,47.622501,187,1958,7,17,"US","Montana","Lewis and Clark","Bear Lake","North and Central America | United States | Montana | Lewis and Clark County | Bear Lake","MSU","Albert Berish","http://portal.vertnet.org/o/msu/mr?id=mr-3910"
919435979,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-112.9935852,47.622501,187,1958,7,13,"US","Montana","Lewis and Clark","Bear Lake","North and Central America | United States | Montana | Lewis and Clark County | Bear Lake","MSU","John R. Paul","http://portal.vertnet.org/o/msu/mr?id=mr-3909"
919430790,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-113.393418,48.8318973,6463,1954,6,25,"US","Montana","Glacier","2 mi. SE Babb","North and Central America | United States | Montana | Glacier County | 2 mi. SE Babb","MSU","R. H. Manville","http://portal.vertnet.org/o/msu/mr?id=mr-2433"
919427812,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.2759464,52.6975509,2586,1956,7,22,"CA","Alberta","","Amethyst Lake, Jasper National Park","North and Central America | Canada | Alberta Province | Amethyst Lake, Jasper National Park","MSU","Dick Mackie","http://portal.vertnet.org/o/msu/mr?id=mr-2377"
919427537,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-112.9935852,47.622501,187,1958,7,12,"US","Montana","Lewis and Clark","Bear Lake","North and Central America | United States | Montana | Lewis and Clark County | Bear Lake","MSU","R. P. Northrup","http://portal.vertnet.org/o/msu/mr?id=mr-3908"
919424929,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.2759464,52.6975509,2586,1956,7,22,"CA","Alberta","","Amethyst Lake, Jasper National Park","North and Central America | Canada | Alberta Province | Amethyst Lake, Jasper National Park","MSU","Dr. George A. Petrides","http://portal.vertnet.org/o/msu/mr?id=mr-2376"
