"gbifID","license","species","basisOfRecord","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","year","month","day","countryCode","stateProvince","county","locality","verbatimLocality","institutionCode","recordedBy","references"
897129119,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",NA,NA,NA,1987,6,22,"US","Washington","Pend Oreille County","7 MI W TIGER, LAKE LEON","7 MI W TIGER, LAKE LEON","WNMU","Collector(s): Bruce J. Hayward","http://arctos.database.museum/guid/WNMU:Mamm:5478"
897126133,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",NA,NA,NA,1973,6,6,"US","Idaho","Valley County","20 MI W YELLOW PINE","20 MI W YELLOW PINE","WNMU","Collector(s): Bruce J. Hayward","http://arctos.database.museum/guid/WNMU:Mamm:2768"
897126012,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",NA,NA,NA,1973,6,6,"US","Idaho","Valley County","20 mi W Yellow Pine","20 mi W Yellow Pine","WNMU","Collector(s): Bruce J. Hayward","http://arctos.database.museum/guid/WNMU:Mamm:2659"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812662715,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.0780719,44.519175,6183,1977,7,11,"US","Oregon","Baker","Unity, 8 mi NE","USA | Oregon | Baker","PSM","C. Maser","http://portal.vertnet.org/o/psm/bird?id=Mammal-25993"
812662206,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.96958,45.172971,5030,1979,3,26,"US","Oregon","Union","Ladd Canyon, 1.5 mi SE","USA | Oregon | Union","PSM","R. Etter and B. Grove","http://portal.vertnet.org/o/psm/bird?id=Mammal-26078"
812662205,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.96958,45.172971,5030,1979,3,26,"US","Oregon","Union","Ladd Canyon, 1.5 mi SE","USA | Oregon | Union","PSM","R. Etter and B. Grove","http://portal.vertnet.org/o/psm/bird?id=Mammal-26077"
812660976,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.5528969,45.2637653,14495,1976,6,19,"US","Oregon","Union","Starkey Experimental Forest, Meadow Creek","USA | Oregon | Union","PSM","E. Bull","http://portal.vertnet.org/o/psm/bird?id=Mammal-24155"
812656799,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.1700159,48.4286468,2105,1974,6,19,"US","Washington","Stevens","Roosevelt Lake, E shore, nr Rice","USA | Washington | Stevens","PSM","University of Washington","http://portal.vertnet.org/o/psm/bird?id=Mammal-20325"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
665719081,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-113.705704,47.622299,NA,1985,NA,NA,"US","Montana","Missoula Co","6 mi N 1 mi E Condon; Dog Creek T22N, R16W, W .5 sec 3","","FMNH","R. M. Timm",""
5006598768,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",NA,NA,NA,1981,6,20,"US","Montana","Lake","4.6 mi S, 3.4 mi E Big Fork","","UCOCV","F. Bassett","https://csvcoll.org/portal/collections/individual/index.php?occid=329520"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5006596720,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",NA,NA,NA,1978,7,28,"US","Montana","Flathead","7 mi S of Martin City (DOR)","","UCOCV","R. Pyle","https://csvcoll.org/portal/collections/individual/index.php?occid=328649"
5006594107,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",NA,NA,NA,1981,8,10,"US","Oregon","Grant","Canyon Creek Meadows","","UCOCV","J. Purswell","https://csvcoll.org/portal/collections/individual/index.php?occid=332596"
5006594106,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",NA,NA,NA,1979,8,18,"US","Oregon","Grant","Strawberry Meadows","","UCOCV","T.D. Wright","https://csvcoll.org/portal/collections/individual/index.php?occid=332597"
5006593376,"CC0_1_0","Urocitellus columbianus","PRESERVED_SPECIMEN",NA,NA,NA,1976,4,4,"US","Washington","Walla Walla","0.5 mi S. of Whitman National Historic Site","","UCOCV","D. Heinzman","https://csvcoll.org/portal/collections/individual/index.php?occid=327849"
4947692650,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.179616,46.731274,5639,1978,6,13,"US","Washington","Whitman County","Pullman","Pullman, elev. 2500 ft, Whitman Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:6292"
4947692604,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,5,3,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24969"
4947692394,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-116.868614,46.920119,90,1985,4,3,"US","Idaho","Latah County","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6, Latah Co., Idaho","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8594"
4947692313,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,4,28,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24932"
4947692226,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.273998,48.532318,66268,1994,6,23,"US","Washington","Pend Oreille County","No specific locality recorded.","Rub Reg 3, T35N, R42E, sec. 3, Pend Oreille Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:22973"
4947692104,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.060103,46.738423,2069,1977,5,14,"US","Washington","Whitman County","1.7 mi E, 1.3 mi N of Sunshine","1.7 mi E, 1.3 mi N of Sunshine, elev. 2540 ft, Whitman Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8470"
4947692055,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,4,21,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24870"
4947691874,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.454566,48.275992,16413,1992,6,21,"US","Washington","Pend Oreille County","12 mi E of Chewelah","12 mi E of Chewelah, T32N R42E Sec 11, Pend Oreille Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8380"
4947691823,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,5,29,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24873"
4947691807,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,5,24,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:25052"
4947691632,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,5,2,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24960"
4947691542,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.179616,46.731274,5639,1978,6,16,"US","Washington","Whitman County","Pullman","Pullman, elev. 2500 ft, Whitman Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8439"
4947691513,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-116.868614,46.920119,90,1985,3,22,"US","Idaho","Latah County","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6, Latah Co., Idaho","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8566"
